source_no;sku;slug;status;name_ar;name_en;category;category_slug;subcategory;brand;model;country_of_origin;unit;quantity;price_sar;price_type;availability;warranty;short_description_ar;full_description_ar;dimensions;voltage;frequency;phase;power;capacity;temperature_range;productivity;material;stainless_grade;image_filename;datasheet_filename;possible_duplicate_of;inferred_fields;data_quality;data_quality_notes;additional_image_filenames;image_count
57;EW-QT-0057;electric-salamander-0057;active;سلمندر كهربائي;Electric Salamander;معدات الطبخ;cooking-equipment;السلمندر;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;سلمندر كهربائي من الفولاذ المقاوم للصدأ قوة 220-240كيلو واط 3.5/فولت درجة مئوية 50 :300 MADE IN CHINA;سلمندر كهربائي من الفولاذ المقاوم للصدأ قوة 220-240كيلو واط 3.5/فولت درجة مئوية 50 :300 MADE IN CHINA;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0057.jpeg;EW-QT-0057.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ صياغة الجهد والقدرة في المصدر غير واضحة وتحتاج مراجعة;;1
58;EW-QT-0058;walk-in-cold-room-0058;active;غرفة تبريد 260 سم;Walk-in Cold Room;التبريد والتجميد;refrigeration;غرف التبريد;غير مذكور;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;غرفة تبريد مقاس 360x260cm -كومبروسر frascold إيطالي -مبخر ذا كفاءه جيدة -سماكة بانيل 10cm -كثافة البانيل 40;غرفة تبريد مقاس 360x260cm -كومبروسر frascold إيطالي -مبخر ذا كفاءه جيدة -سماكة بانيل 10cm -كثافة البانيل 40;360x260cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0058.png;EW-QT-0058.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
59;EW-QT-0059;walk-in-freezer-room-0059;active;غرفة تجميد 10 سم;Walk-in Freezer Room;التبريد والتجميد;refrigeration;غرف التجميد;غير مذكور;غير مذكور;تركيا;قطعة;1;;request_quote;غير محدد;غير مذكور;غرفة تجميد بدرجة تبريد من -2:-18 م◦ بجدارن من الواح البانل بسماكة 10cm و كثافة 40kg مع لوحة تحكم ديجتال الكترونية و الارضيات من الألومنيوم المبزر لمنع الانزلاق بباب ذات نوعية جيدة مع قفل امان للغرفة مقاس 190x90cm نوع كمبروسر الغرفة BOOKالماني ذات جودة عالية مق…;غرفة تجميد بدرجة تبريد من -2:-18 م◦ بجدارن من الواح البانل بسماكة 10cm و كثافة 40kg مع لوحة تحكم ديجتال الكترونية و الارضيات من الألومنيوم المبزر لمنع الانزلاق بباب ذات نوعية جيدة مع قفل امان للغرفة مقاس 190x90cm نوع كمبروسر الغرفة BOOKالماني ذات جودة عالية مقاس 2.5 حصان و المبخر الداخلي فريجابون فرنسي قوة 2حصان يعمل علي كهرباء 380V/3N -60HZ مع تركيب مواسير نحاس بمقاس12 متر و تركيب الكمبروسر بالسقف مع تكلفة الرافعة لتركيب الكمبورسر بالسقف مواصفات الغرفة: جدران من البانل سماكة 10CM كثافة40KG أرضية من الألومنيوم المبزر لمنع الانزلاق مقاس190X90CM الكمبورسر مقاس2.5حصان من نوع BOOK الماني ذات جودة عالية المبخر الداخلي فريجابون فرنسي قوة2حصان طاقة كهربائية 380V/3N - 60HZ تركيب انارة داخلية WATER PROOF تركيب لوحة تحكم الكترونية للتحكم بدرجة حرارة الغرفة تركيب لوحة تحكم كهربائية لحماية الكمبروسر من ذبذات التيار الكهربائي تتكون من قواطع كهربائية و كونتتاكتر و اوفر لود بمقاسات تتناسب مع الكمبروسر تمديد مواسير صرف متصلة بالوحدة الداخلية درجة حرارة الغرفة من -2:-18م◦ تقفيل الزاويا من الداخل المونيوم مقاس 4X4CM ماسورة صرف من البلاستك الحراري 1 بوصة تركيب زويا من الاستانلس ستيل ع مدخل الثلاجة;190x90cm;380V/3N;60HZ;3N;غير مذكور;40kg;;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0059.png;EW-QT-0059.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
60;EW-QT-0060;planetary-mixer-0060;active;خلاط كوكبي;Planetary Mixer;معدات المخابز;bakery-equipment;الخلاطات والعجانات;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;مكسر 20 liter مع ثلاث مضارب و ثلاث سرعات من ELIT WORLD 220V/1N/60HZ MADE IN CHINA;مكسر 20 liter مع ثلاث مضارب و ثلاث سرعات من ELIT WORLD 220V/1N/60HZ MADE IN CHINA;غير مذكور;220V/1N;60HZ;1N;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0060.jpeg;EW-QT-0060.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
61;EW-QT-0061;meat-grinder-0061;active;مفرمة لحوم;Meat Grinder;معدات التحضير;food-preparation;مفارم اللحوم;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فرامة لحوم من ELITE WORLD من الفولاذ المقاوم للصدأ مقاس 22 MADE IN CHINA;فرامة لحوم من ELITE WORLD من الفولاذ المقاوم للصدأ مقاس 22 MADE IN CHINA;22 ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0061.jpeg;EW-QT-0061.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
62;EW-QT-0062;shrink-wrapping-machine-0062;active;ماكينة تغليف شرينك 30 سم;Shrink Wrapping Machine;معدات التعبئة;packaging;معدات التغليف;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ماكينة تغليف شرينك Power source 220v/50-60Hz Seal-cut Time : 3sec Shrinking Time : 30sec Fan Power : 250w/ 2800r Max.packing size 55x40x30cm MADE IN CHINA;ماكينة تغليف شرينك Power source 220v/50-60Hz Seal-cut Time : 3sec Shrinking Time : 30sec Fan Power : 250w/ 2800r Max.packing size 55x40x30cm MADE IN CHINA;55x40x30cm;220v/50-60Hz;50-60Hz;غير مذكور;250w;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0062.jpeg;EW-QT-0062.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
63;EW-QT-0063;bain-marie-0063;active;بان ماري;Bain Marie;معدات الطبخ;cooking-equipment;حفظ وتسخين الطعام;غير مذكور;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;بان ماري 4 صحون يعمل بالماء من الفولاذالمقاوم للصدأ MADE IN K S A;بان ماري 4 صحون يعمل بالماء من الفولاذالمقاوم للصدأ MADE IN K S A;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0063.jpeg;EW-QT-0063.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
64;EW-QT-0064;rotary-rack-oven-18-trays-0064;active;فرن دوار 18 صواني;Rotary Rack Oven, 18 Trays;معدات المخابز;bakery-equipment;الأفران الدوارة;Europa;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;فرن دوار يعمل بالغاز من EUROPA سعة18 صينية مقاس 60X80 مزود ب 2 ترولي لوحة تحكم رقمية لوقت الخبز و البخار و الحرارة طاقة كهربائية 2.5KW 380V - 3N MADE IN ITALY;فرن دوار يعمل بالغاز من EUROPA سعة18 صينية مقاس 60X80 مزود ب 2 ترولي لوحة تحكم رقمية لوقت الخبز و البخار و الحرارة طاقة كهربائية 2.5KW 380V - 3N MADE IN ITALY;60X80 ;380V;غير مذكور;3N;2.5KW;18 صينية; ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0064.jpeg;EW-QT-0064.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
65;EW-QT-0065;fork-mixer-0065;active;عجانة شوكية;Fork Mixer;معدات المخابز;bakery-equipment;العجانات;غير مذكور;غير مذكور;تركيا;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة شوكية تركي من الفولاذ المقاوم للصدأ سعة 10KG;عجانة شوكية تركي من الفولاذ المقاوم للصدأ سعة 10KG;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;10KG;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0065.jpeg;EW-QT-0065.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
66;EW-QT-0066;chicken-rotisserie-0066;active;شواية دجاج;Chicken Rotisserie;معدات الطبخ;cooking-equipment;الشوايات;غير مذكور;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;شواية دجاج 8 اسياخ مع عزل حراري من الفولا المقاوم للصدأ MADE IN K S A;شواية دجاج 8 اسياخ مع عزل حراري من الفولا المقاوم للصدأ MADE IN K S A;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0066.jpeg;EW-QT-0066.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
67;EW-QT-0067;upright-refrigerator-700-l-1-door-0067;active;ثلاجة عمودية 700 لتر - 1 باب;Upright Refrigerator, 700 L, 1 Door;التبريد والتجميد;refrigeration;الثلاجات العمودية;Tecnodom;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة عامودية 1 باب من TECNODOM -السطح الخارجي : الفولاذ المقاوم للصدأ -سعة : 700 لتر -الابعاد :الارتفاع202CM العرض 70CM العمق79CM -استهلاك الطاقة:220V/60HZ/1N -3 ارفف قابلة للتعديل لتانسب الاحجام المختلفة -وحدات تحكم الكترونية في درجة الحرارة بين (1C◦:8C◦) -م…;ثلاجة عامودية 1 باب من TECNODOM -السطح الخارجي : الفولاذ المقاوم للصدأ -سعة : 700 لتر -الابعاد :الارتفاع202CM العرض 70CM العمق79CM -استهلاك الطاقة:220V/60HZ/1N -3 ارفف قابلة للتعديل لتانسب الاحجام المختلفة -وحدات تحكم الكترونية في درجة الحرارة بين (1C◦:8C◦) -مزودة بمروحة تبريد بالتهوئة القسرية -ضاغط اروبي - تحكم رقمي بدرجة الحرارة -درجة الحرارة المحيطة(استوائية):43C◦ MADE IN ITALY;غير مذكور;220V/60;60HZ;1N;غير مذكور;700 لتر;;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0067.jpeg;EW-QT-0067.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
68;EW-QT-0068;upright-refrigerator-2-door-0068;active;ثلاجة عمودية 2 باب;Upright Refrigerator, 2 Door;التبريد والتجميد;refrigeration;الثلاجات العمودية;Triumph;غير مذكور;اليونان;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة عامودي 2 باب من TRIUMPH الأجزاء الداخلية و الخارجية مصنعة من الفولاذ المقاوم للصدأ مبخر مع معالجة ضد التأكل و تحكم رقمي بدرجة الحرارة MADE IN GREECE;ثلاجة عامودي 2 باب من TRIUMPH الأجزاء الداخلية و الخارجية مصنعة من الفولاذ المقاوم للصدأ مبخر مع معالجة ضد التأكل و تحكم رقمي بدرجة الحرارة MADE IN GREECE;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور; ;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0068.jpeg;EW-QT-0068.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
69;EW-QT-0069;upright-freezer-2-door-0069;active;فريزر عمودي 2 باب;Upright Freezer, 2 Door;التبريد والتجميد;refrigeration;الفريزرات العمودية;Triumph;غير مذكور;اليونان;قطعة;1;;request_quote;غير محدد;غير مذكور;فريزر عامودي 2 باب من TRIUMPH الأجزاء الداخلية و الخارجية مصنعة من الفولاذ المقاوم للصدأ مبخر مع معالجة ضد التأكل و تحكم رقمي بدرجة الحرارة MADE IN GREECE;فريزر عامودي 2 باب من TRIUMPH الأجزاء الداخلية و الخارجية مصنعة من الفولاذ المقاوم للصدأ مبخر مع معالجة ضد التأكل و تحكم رقمي بدرجة الحرارة MADE IN GREECE;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور; ;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0069.jpeg;EW-QT-0069.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
70;EW-QT-0070;ice-maker-0070;active;صانعة ثلج;Ice Maker;التبريد والتجميد;refrigeration;صانعات الثلج;غير مذكور;غير مذكور;المملكة المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;أيس ميكر من الفولاذ المقاوم للصدأ من هوشيزاكي بتبريد هوائي و بسعة 44kg MADE IN UK;أيس ميكر من الفولاذ المقاوم للصدأ من هوشيزاكي بتبريد هوائي و بسعة 44kg MADE IN UK;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;44kg;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0070.jpeg;EW-QT-0070.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
71;EW-QT-0071;espresso-coffee-machine-0071;active;ماكينة قهوة إسبريسو;Espresso Coffee Machine;معدات الكافيهات;cafe-equipment;ماكينات القهوة;Bloomfield;غير مذكور;الولايات المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;ماكينة قهوة مقطرة امريكي من BLOOMFIELD;ماكينة قهوة مقطرة امريكي من BLOOMFIELD;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0071.jpeg;EW-QT-0071.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
72;EW-QT-0072;dough-divider-0072;active;قطاعة عجين;Dough Divider;معدات المخابز;bakery-equipment;تقسيم العجين;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;قطاعة عجين صيني من الفولاذ المقاوم للصدأ انتاج 30 حبة خلال دقيقة حجم القطة من 40g:150g استهلاك الطاقة 220v مقاس 64X73X105 MADE IN CHINA;قطاعة عجين صيني من الفولاذ المقاوم للصدأ انتاج 30 حبة خلال دقيقة حجم القطة من 40g:150g استهلاك الطاقة 220v مقاس 64X73X105 MADE IN CHINA;64X73X105 ;220v ;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;30 حبة خلال دقيقة;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0072.jpeg;EW-QT-0072.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
73;EW-QT-0073;saladette-refrigerator-2-door-0073;active;ثلاجة تحضير مقبلات 2 باب - 90 سم;Saladette Refrigerator, 2 Door;التبريد والتجميد;refrigeration;ثلاجات التحضير;Al Kayan Factory;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة مقبلات 2 باب من لفولاذ المقاوم للصدأ مقاس 150x70x90 cm من alkayan factory مع كومبرسر دانفوس ودائرة تبريد أوروبية;ثلاجة مقبلات 2 باب من لفولاذ المقاوم للصدأ مقاس 150x70x90 cm من alkayan factory مع كومبرسر دانفوس ودائرة تبريد أوروبية;150x70x90 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0073.png;EW-QT-0073.pdf;;sku, slug, name_en, category, subcategory, unit, quantity, country_of_origin;متوسط;بلد المنشأ مستنتج من اسم المصنع ويحتاج تأكيد؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
74;EW-QT-0074;commercial-dishwasher-2-l-0074;active;غسالة أطباق 2 لتر;Commercial Dishwasher, 2 L;معدات الغسيل;warewashing;غسالات الأطباق;Electrolux;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;غسالة اطباق من ELECTROLUX سعة 40سلة/ساعة -فقط 2لتر مياه لكل دورة -لوحة تحكم الكترونية -شطف درجة حرارة المياه 84درجة مئوية - دورة التنظيف الذاتي الاوتوماتيكية MADE IN ITALY;غسالة اطباق من ELECTROLUX سعة 40سلة/ساعة -فقط 2لتر مياه لكل دورة -لوحة تحكم الكترونية -شطف درجة حرارة المياه 84درجة مئوية - دورة التنظيف الذاتي الاوتوماتيكية MADE IN ITALY;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;40سلة;;غير مذكور;غير مذكور;غير مذكور;EW-QT-0074.jpeg;EW-QT-0074.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
75;EW-QT-0075;fork-mixer-0075;active;عجانة شوكية;Fork Mixer;معدات المخابز;bakery-equipment;العجانات;غير مذكور;غير مذكور;تركيا;قطعة;1;;request_quote;غير محدد;غير مذكور;عجانة شوكية تركي من الفولاذ المقاوم للصدأ 50kg سعة;عجانة شوكية تركي من الفولاذ المقاوم للصدأ 50kg سعة;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;50kg;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0075.jpeg;EW-QT-0075.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
76;EW-QT-0076;orange-juicer-0076;active;عصارة برتقال;Orange Juicer;معدات الكافيهات;cafe-equipment;العصارات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;عصارة برتقال مصنوعة من الفولاذ المقاوم للصدأ يوجد مصفاة لتصفية ناتج العصير الجهد 220V60HZ الطاقة 120W الإنتاج 22برتقالة/ دقيقة MADE IN CHINA;عصارة برتقال مصنوعة من الفولاذ المقاوم للصدأ يوجد مصفاة لتصفية ناتج العصير الجهد 220V60HZ الطاقة 120W الإنتاج 22برتقالة/ دقيقة MADE IN CHINA;غير مذكور;220V60;غير مذكور;غير مذكور;120W;غير مذكور;غير مذكور;22برتقالة/ دقيقة;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0076.jpeg;EW-QT-0076.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
77;EW-QT-0077;cake-display-refrigerator-0077;active;ثلاجة عرض حلويات;Cake Display Refrigerator;التبريد والتجميد;refrigeration;ثلاجات العرض;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة عرض حلويات مقاس 120X75X125 2رف المونيوم نظام تبريد مروحي درجة التبريد (+2~+8م°) -استهلاك الطاقة 220V MADE IN CHINA;ثلاجة عرض حلويات مقاس 120X75X125 2رف المونيوم نظام تبريد مروحي درجة التبريد (+2~+8م°) -استهلاك الطاقة 220V MADE IN CHINA;120X75X125 2;220V ;غير مذكور;غير مذكور;غير مذكور;غير مذكور; ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0077.png;EW-QT-0077.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
78;EW-QT-0078;soft-ice-cream-machine-25-l-0078;active;ماكينة آيس كريم 25 لتر - 78 سم;Soft Ice Cream Machine, 25 L;معدات الكافيهات;cafe-equipment;ماكينات الآيس كريم;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;مكينة ايس كريم بثلاث نكهات سعة إنتاجية 25 لتر لكل ساعة شاشة ديجتل توضح درجة التجميد طاقة كهربائية220v/60hz مقاس 71.5x56x78cm MADE IN CHINA;مكينة ايس كريم بثلاث نكهات سعة إنتاجية 25 لتر لكل ساعة شاشة ديجتل توضح درجة التجميد طاقة كهربائية220v/60hz مقاس 71.5x56x78cm MADE IN CHINA;71.5x56x78cm;غير مذكور;60hz;غير مذكور;غير مذكور;25 لتر;غير مذكور;25 لتر لكل ساعة;غير مذكور;غير مذكور;EW-QT-0078.jpeg;EW-QT-0078.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
79;EW-QT-0079;bread-warmer-0079;active;ماكينة تسخين خبز 47 سم;Bread Warmer;البوفيهات والعرض;buffet-display;حفظ وتسخين الطعام;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ماكينة تسخين خبز كبيرة -حرارة من 30:85c◦ -الجهد 2.2kw -الفولت 220v -التردد 60hz -مقاس 39x42x47cm Made in china;ماكينة تسخين خبز كبيرة -حرارة من 30:85c◦ -الجهد 2.2kw -الفولت 220v -التردد 60hz -مقاس 39x42x47cm Made in china;39x42x47cm;2.2;60hz;غير مذكور;2.2kw;غير مذكور;م;غير مذكور;غير مذكور;غير مذكور;EW-QT-0079.png;EW-QT-0079.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
80;EW-QT-0080;ice-maker-0080;active;صانعة ثلج;Ice Maker;التبريد والتجميد;refrigeration;صانعات الثلج;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;صانعة مكعبات الثلج بحاوية بسعة إنتاجية 25KG / ساعة MADE IN CHINA41;صانعة مكعبات الثلج بحاوية بسعة إنتاجية 25KG / ساعة MADE IN CHINA41;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;25KG;غير مذكور;25KG / ساعة;غير مذكور;غير مذكور;EW-QT-0080.png;EW-QT-0080.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
81;EW-QT-0081;commercial-electric-fryer-25-l-0081;active;قلاية كهربائية 25 لتر;Commercial Electric Fryer, 25 L;معدات الطبخ;cooking-equipment;القلايات;MKN;غير مذكور;ألمانيا;قطعة;1;;request_quote;غير محدد;غير مذكور;قلاية كهربائية من MKN سعة 25LIT 380V MADE IN GERMANY;قلاية كهربائية من MKN سعة 25LIT 380V MADE IN GERMANY;غير مذكور;380V;غير مذكور;غير مذكور;غير مذكور;25LIT;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0081.png;EW-QT-0081.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
82;EW-QT-0082;electric-griddle-0082;active;جريل كهربائي 70 سم;Electric Griddle;معدات الطبخ;cooking-equipment;الجريلات;MKN;غير مذكور;ألمانيا;قطعة;1;;request_quote;غير محدد;غير مذكور;جريل كهربائي سادة70CM من MKN مصنوع من الفولاذ المقاوم للصدأ MADE IN GERMANY;جريل كهربائي سادة70CM من MKN مصنوع من الفولاذ المقاوم للصدأ MADE IN GERMANY;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0082.png;EW-QT-0082.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
83;EW-QT-0083;vegetable-cutter-0083;active;قطاعة خضروات;Vegetable Cutter;معدات التحضير;food-preparation;قطاعات الخضار;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;قطاعة خضروات مع 2 فتحات للتغذية مع 6 شفرات قابلة للفصل من الفولاذ المقاوم للصدأ MADE IN CHINA;قطاعة خضروات مع 2 فتحات للتغذية مع 6 شفرات قابلة للفصل من الفولاذ المقاوم للصدأ MADE IN CHINA;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0083.png;EW-QT-0083.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
84;EW-QT-0084;upright-refrigerator-0084;active;ثلاجة عمودية 230 سم;Upright Refrigerator;التبريد والتجميد;refrigeration;الثلاجات العمودية;Al Kayan Factory;غير مذكور;السعودية;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة عامودية للمشاوي باب من الفولاذ المقاوم 2 للصدأ من alkayan factory مع كومبرسر دانفوس ودائرة تبريد أوروبية 150X85X230CM;ثلاجة عامودية للمشاوي باب من الفولاذ المقاوم 2 للصدأ من alkayan factory مع كومبرسر دانفوس ودائرة تبريد أوروبية 150X85X230CM;150X85X230CM;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0084.png;EW-QT-0084.pdf;;sku, slug, name_en, category, subcategory, unit, quantity, country_of_origin;متوسط;بلد المنشأ مستنتج من اسم المصنع ويحتاج تأكيد؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
